"length","heigth","value","stock_id","id_assignment","id_job_type"
"30","20","1","9","1592","3"
"30","20","1","9","1594","1"
"35","25","1","9","1560","2"
"55","35","1","9","1593","1"
"40","38","1","9","1593","1"
"35","30","1","9","1595","1"
"33","30","1","9","1596","1"
"19","20","1","9","1600","1"
"25","20","1","9","1597","1"
"40","27","1","9","1597","1"
"30","20","1","9","1601","1"
"58","40","1","9","1605","1"
"40","30","1","9","1608","1"
"30","13","1","9","1599","1"
"10","18","1","9","1599","1"
"10","30","1","9","1599","1"
"10","40","1","9","1599","1"
"10","20","1","9","1599","1"
"30","20","1","9","1592","1"
"58","40","1","9","1602","1"
