"assignment_id","id","created_by","updated_by","start_date","end_date"
"6699","33","73","73","2020-11-17 08:00:00","2020-11-17 09:00:00"
"6701","31","73","73","2020-11-17 15:00:00","2020-11-17 16:00:00"
"6702","34","73","73","2020-11-17 14:30:00","2020-11-17 15:30:00"
"6703","24","73","73","2020-11-18 12:00:00","2020-11-18 13:00:00"
"6704","33","73","73","2020-11-17 13:30:00","2020-11-17 14:30:00"
"6705","14","73","73","2020-11-18 08:00:00","2020-11-18 09:00:00"
"6706","8","73","73","2020-11-17 13:30:00","2020-11-17 14:30:00"
"6707","24","73","73","2020-11-18 16:00:00","2020-11-18 17:00:00"
"6708","1","73","73","2020-11-18 12:00:00","2020-11-18 13:00:00"
"6709","24","73","73","2020-11-17 15:30:00","2020-11-17 16:30:00"
"6710","8","73","73","2020-11-18 12:00:00","2020-11-18 13:00:00"
"6711","1","73","73","2020-11-17 02:30:00","2020-11-17 03:30:00"
"6712","31","73","73","2020-11-20 10:00:00","2020-11-20 11:00:00"
"6713","14","73","73","2020-11-19 10:00:00","2020-11-19 11:00:00"
"6714","31","73","73","2020-11-20 13:00:00","2020-11-20 14:00:00"
"6716","8","73","73","2020-11-18 14:00:00","2020-11-18 15:00:00"
"6717","34","73","73","2021-5-18 13:00:00","2021-5-18 14:00:00"
"6718","31","73","73","2020-11-18 09:00:00","2020-11-18 10:00:00"
"6719","1","73","73","2020-11-20 09:00:00","2020-11-20 10:00:00"
"6720","14","73","73","2020-11-18 13:30:00","2020-11-18 14:30:00"
"6721","34","73","73","2020-11-18 15:30:00","2020-11-18 16:30:00"
"6722","9","73","73","2020-11-18 16:00:00","2020-11-18 17:00:00"
"6723","34","73","73","2020-11-19 08:00:00","2020-11-19 09:00:00"
"6724","33","73","73","2020-11-19 08:00:00","2020-11-19 09:00:00"
"6725","33","73","73","2020-11-18 13:00:00","2020-11-18 14:00:00"
"6726","34","73","73","2020-11-19 10:00:00","2020-11-19 11:00:00"
"6727","1","73","73","2020-11-18 14:30:00","2020-11-18 15:30:00"
"6728","8","73","73","2020-11-19 13:30:00","2020-11-19 14:30:00"
"6729","34","73","73","2020-11-20 10:00:00","2020-11-20 11:00:00"
"6731","24","73","73","2020-11-19 09:00:00","2020-11-19 10:00:00"
"6732","9","73","73","2020-11-19 13:00:00","2020-11-19 14:00:00"
"6733","1","73","73","2020-11-24 11:00:00","2020-11-24 12:00:00"
"6734","8","73","73","2020-11-19 11:00:00","2020-11-19 12:00:00"
"6735","24","73","73","2020-12-4 14:30:00","2020-12-4 15:30:00"
"6736","1","73","73","2020-11-20 12:00:00","2020-11-20 13:00:00"
"6739","8","73","73","2020-11-30 09:00:00","2020-11-30 10:00:00"
"6740","14","73","73","2020-11-19 15:00:00","2020-11-19 16:00:00"
"6741","33","73","73","2020-11-23 11:00:00","2020-11-23 12:00:00"
"6742","35","73","73","2020-12-7 11:30:00","2020-12-7 12:30:00"
"6744","9","73","73","2020-11-19 16:00:00","2020-11-19 17:00:00"
"6745","8","73","73","2020-11-19 15:00:00","2020-11-19 16:00:00"
"6746","14","73","73","2020-11-19 16:30:00","2020-11-19 17:30:00"
"6747","8","73","73","2020-11-23 12:30:00","2020-11-23 13:30:00"
"6748","8","73","73","2020-11-20 08:00:00","2020-11-20 09:00:00"
"6749","8","73","73","2020-11-19 12:00:00","2020-11-19 13:00:00"
"6751","8","73","73","2020-11-20 09:00:00","2020-11-20 10:00:00"
"6752","33","73","73","2020-11-23 15:30:00","2020-11-23 16:30:00"
"6754","14","73","73","2020-11-23 13:30:00","2020-11-23 14:30:00"
"6755","24","73","73","2020-11-23 15:00:00","2020-11-23 16:00:00"
"6756","24","73","73","2020-11-20 13:00:00","2020-11-20 14:00:00"
"6757","24","73","73","2020-11-21 08:00:00","2020-11-21 09:00:00"
"6758","24","73","73","2020-12-2 12:00:00","2020-12-2 13:00:00"
"6759","8","73","73","2020-11-20 15:00:00","2020-11-20 16:00:00"
"6760","2","73","73","2020-11-21 10:00:00","2020-11-21 11:00:00"
"6761","24","73","73","2020-11-24 12:00:00","2020-11-24 13:00:00"
"6762","8","73","73","2020-11-20 17:00:00","2020-11-20 18:00:00"
"6765","34","73","73","2020-11-20 16:00:00","2020-11-20 17:00:00"
"6766","31","73","73","2020-11-21 09:00:00","2020-11-21 10:00:00"
"6767","1","73","73","2020-11-20 16:00:00","2020-11-20 17:00:00"
"6768","14","73","73","2020-11-25 09:30:00","2020-11-25 10:30:00"
"6769","8","73","73","2020-11-21 10:00:00","2020-11-21 11:00:00"
"6771","31","73","73","2020-11-21 13:00:00","2020-11-21 14:00:00"
"6773","14","73","73","2020-11-23 11:00:00","2020-11-23 12:00:00"
"6774","8","73","73","2020-11-21 08:00:00","2020-11-21 09:00:00"
"6775","8","73","73","2020-11-21 12:00:00","2020-11-21 13:00:00"
"6776","31","73","73","2020-11-23 13:00:00","2020-11-23 14:00:00"
"6777","8","73","73","2020-11-21 16:30:00","2020-11-21 17:30:00"
"6778","8","73","73","2020-11-22 12:00:00","2020-11-22 13:00:00"
"6780","14","73","73","2020-11-25 15:30:00","2020-11-25 16:30:00"
"6782","8","73","73","2020-11-25 16:00:00","2020-11-25 17:00:00"
"6783","33","73","73","2020-11-27 12:00:00","2020-11-27 13:00:00"
"6786","8","73","73","2020-12-8 14:15:00","2020-12-8 15:15:00"
"6787","8","73","73","2020-11-23 13:30:00","2020-11-23 14:30:00"
