"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
"2054"	"7"	"73"	"73"	"2020-5-1 15:00:00"	"2020-5-1 16:00:00"
"2055"	"15"	"73"	"73"	"2020-5-4 09:00:00"	"2020-5-4 10:00:00"
"2056"	"4"	"73"	"73"	"2020-5-6 10:00:00"	"2020-5-6 11:00:00"
"2057"	"15"	"73"	"73"	"2020-5-5 12:00:00"	"2020-5-5 12:30:00"
"2058"	"4"	"73"	"73"	"2020-5-5 09:00:00"	"2020-5-5 10:00:00"
"2059"	"15"	"73"	"73"	"2020-5-5 10:00:00"	"2020-5-5 11:00:00"
"2060"	"15"	"73"	"73"	"2020-5-5 08:00:00"	"2020-5-5 09:00:00"
"2061"	"4"	"73"	"73"	"2020-5-5 12:00:00"	"2020-5-5 13:00:00"
"2062"	"6"	"73"	"73"	"2020-5-7 12:30:00"	"2020-5-7 13:30:00"
"2064"	"15"	"73"	"73"	"2020-5-5 16:00:00"	"2020-5-5 17:00:00"
"2065"	"15"	"73"	"73"	"2020-5-5 16:00:00"	"2020-5-5 17:00:00"
"2066"	"15"	"73"	"73"	"2020-5-6 09:00:00"	"2020-5-6 10:00:00"
"2067"	"7"	"73"	"73"	"2020-5-5 15:00:00"	"2020-5-5 16:00:00"
"2068"	"7"	"73"	"73"	"2020-5-6 09:00:00"	"2020-5-6 10:00:00"
"2069"	"7"	"73"	"73"	"2020-5-6 11:00:00"	"2020-5-6 12:00:00"
"2070"	"15"	"73"	"73"	"2020-5-6 14:00:00"	"2020-5-6 15:00:00"
"2072"	"4"	"73"	"73"	"2020-5-21 12:00:00"	"2020-5-21 13:00:00"
"2073"	"15"	"73"	"73"	"2020-5-7 11:00:00"	"2020-5-7 12:00:00"
"2074"	"15"	"73"	"73"	"2020-5-7 14:00:00"	"2020-5-7 15:00:00"
"2075"	"4"	"73"	"73"	"2020-5-7 16:00:00"	"2020-5-7 17:00:00"
"2076"	"15"	"73"	"73"	"2020-5-11 12:30:00"	"2020-5-11 13:30:00"
"2077"	"15"	"73"	"73"	"2020-5-8 16:00:00"	"2020-5-8 17:00:00"
"2078"	"4"	"73"	"73"	"2020-5-14 11:00:00"	"2020-5-14 12:00:00"
"2079"	"15"	"73"	"73"	"2020-5-9 13:00:00"	"2020-5-9 14:00:00"
"2080"	"15"	"73"	"73"	"2020-5-10 10:00:00"	"2020-5-10 11:00:00"
"2081"	"1"	"73"	"73"	"2020-5-11 09:00:00"	"2020-5-11 10:00:00"
"2082"	"4"	"73"	"73"	"2020-5-11 13:00:00"	"2020-5-11 14:00:00"
"2083"	"15"	"73"	"73"	"2020-5-11 16:00:00"	"2020-5-11 17:00:00"
"2084"	"15"	"73"	"73"	"2020-5-11 14:30:00"	"2020-5-11 15:30:00"
"2085"	"4"	"73"	"73"	"2020-5-11 15:30:00"	"2020-5-11 16:30:00"
"2086"	"7"	"73"	"73"	"2020-5-11 17:00:00"	"2020-5-11 18:00:00"
"2087"	"7"	"73"	"73"	"2020-5-18 12:30:00"	"2020-5-18 13:30:00"
"2088"	"1"	"73"	"73"	"2020-5-12 11:00:00"	"2020-5-12 12:00:00"
"2089"	"6"	"73"	"73"	"2020-6-2 13:00:00"	"2020-6-2 14:00:00"
"2090"	"7"	"73"	"73"	"2020-5-14 09:30:00"	"2020-5-14 10:30:00"
"2091"	"15"	"73"	"73"	"2020-5-13 13:00:00"	"2020-5-13 14:00:00"
"2092"	"6"	"73"	"73"	"2020-5-14 10:00:00"	"2020-5-14 11:00:00"
"2093"	"1"	"73"	"73"	"2020-5-13 11:00:00"	"2020-5-13 12:00:00"
"2094"	"6"	"73"	"73"	"2020-5-14 11:30:00"	"2020-5-14 12:30:00"
"2095"	"6"	"73"	"73"	"2020-5-14 09:00:00"	"2020-5-14 10:00:00"
"2096"	"15"	"73"	"73"	"2020-5-14 13:00:00"	"2020-5-14 14:00:00"
"2097"	"7"	"73"	"73"	"2020-5-21 14:00:00"	"2020-5-21 15:00:00"
"2098"	"6"	"73"	"73"	"2020-5-14 16:00:00"	"2020-5-14 17:00:00"
"2099"	"6"	"73"	"73"	"2020-5-21 12:00:00"	"2020-5-21 13:00:00"
